MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,
449,0.525,6.39E+17,6.39E+17,,,
450,0.537,6.39E+17,6.39E+17,,,
451,0.532,6.39E+17,6.39E+17,,,
452,0.522,6.39E+17,6.39E+17,,,
453,0.52,6.39E+17,6.39E+17,,,
454,1.023,6.39E+17,6.39E+17,,,
455,0.523,6.39E+17,6.39E+17,,,
456,0.538,6.39E+17,6.39E+17,,,
457,0.506,6.39E+17,6.39E+17,,,
458,0.536,6.39E+17,6.39E+17,,,
459,0.533,6.39E+17,6.39E+17,,,
460,0.536,6.39E+17,6.39E+17,,,
461,0.53,6.39E+17,6.39E+17,,,
462,0.54,6.39E+17,6.39E+17,,,
463,0.663,6.39E+17,6.39E+17,,,
464,0,6.39E+17,6.39E+17,,,
465,0,6.39E+17,6.39E+17,,,
466,1.448,6.39E+17,6.39E+17,,,
467,0.929,6.39E+17,6.39E+17,,,
468,0,6.39E+17,6.39E+17,,,
469,0.509,6.39E+17,6.39E+17,,,
470,0.532,6.39E+17,6.39E+17,,,
471,0.538,6.39E+17,6.39E+17,,,
472,0.542,6.39E+17,6.39E+17,,,
473,0,6.39E+17,6.39E+17,,,
474,0.542,6.39E+17,6.39E+17,,,
475,0.61,6.39E+17,6.39E+17,,,
476,1.092,6.39E+17,6.39E+17,,,
477,0.543,6.39E+17,6.39E+17,,,
478,1.072,6.39E+17,6.39E+17,,,
479,0.544,6.39E+17,6.39E+17,,,
480,0.546,6.39E+17,6.39E+17,,,
481,0.527,6.39E+17,6.39E+17,,,
482,0.608,6.39E+17,6.39E+17,,,
483,1.724,6.39E+17,6.39E+17,,,
484,0.557,6.39E+17,6.39E+17,,,
485,0.55,6.39E+17,6.39E+17,,,
486,0.523,6.39E+17,6.39E+17,,,
487,0.528,6.39E+17,6.39E+17,,,
488,0.508,6.39E+17,6.39E+17,,,
489,0.517,6.39E+17,6.39E+17,,,
490,3.697,6.39E+17,6.39E+17,,,
491,1.678,6.39E+17,6.39E+17,,,
492,0.536,6.39E+17,6.39E+17,,,
493,4.063,6.39E+17,6.39E+17,,,
494,0.546,6.39E+17,6.39E+17,,,
495,0.519,6.39E+17,6.39E+17,,,
496,0.531,6.39E+17,6.39E+17,,,
497,0.524,6.39E+17,6.39E+17,,,
498,0.519,6.39E+17,6.39E+17,,,
499,0.505,6.39E+17,6.39E+17,,,
500,0.535,6.39E+17,6.39E+17,,,
501,1.074,6.39E+17,6.39E+17,,,
502,0.522,6.39E+17,6.39E+17,,,
503,1.095,6.39E+17,6.39E+17,,,
504,0.542,6.39E+17,6.39E+17,,,
505,0.53,6.39E+17,6.39E+17,,,
506,0.55,6.39E+17,6.39E+17,,,
507,0.543,6.39E+17,6.39E+17,,,
508,0.546,6.39E+17,6.39E+17,,,
509,0.509,6.39E+17,6.39E+17,,,
510,0,6.39E+17,6.39E+17,,,
511,0.528,6.39E+17,6.39E+17,,,
512,0.525,6.39E+17,6.39E+17,,,
513,0.53,6.39E+17,6.39E+17,,,
514,0,6.39E+17,6.39E+17,,,
515,0.532,6.39E+17,6.39E+17,,,
516,0,6.39E+17,6.39E+17,,,
517,0,6.39E+17,6.39E+17,,,
518,0.517,6.39E+17,6.39E+17,,,
519,0.523,6.39E+17,6.39E+17,,,
520,0,6.39E+17,6.39E+17,,,
521,0,6.39E+17,6.39E+17,,,
522,1.381,6.39E+17,6.39E+17,,,
523,0,6.39E+17,6.39E+17,,,
524,0,6.39E+17,6.39E+17,,,
525,1.408,6.39E+17,6.39E+17,,,
526,0,6.39E+17,6.39E+17,,,
527,0,6.39E+17,6.39E+17,,,
528,0,6.39E+17,6.39E+17,,,
529,0.591,6.39E+17,6.39E+17,,,
530,0.527,6.39E+17,6.39E+17,,,
531,0,6.39E+17,6.39E+17,,,
532,0,6.39E+17,6.39E+17,,,
533,0.526,6.39E+17,6.39E+17,,,
534,0.528,6.39E+17,6.39E+17,,,
535,0.527,6.39E+17,6.39E+17,,,
536,0,6.39E+17,6.39E+17,,,
537,0.535,6.39E+17,6.39E+17,,,
538,0,6.39E+17,6.39E+17,,,
539,0,6.39E+17,6.39E+17,,,
540,0,6.39E+17,6.39E+17,,,
541,1.037,6.39E+17,6.39E+17,,,
542,0,6.39E+17,6.39E+17,,,
543,0,6.39E+17,6.39E+17,,,
544,0,6.39E+17,6.39E+17,,,
545,0,6.39E+17,6.39E+17,,,
546,0,6.39E+17,6.39E+17,,,
547,0,6.39E+17,6.39E+17,,,
548,0,6.39E+17,6.39E+17,,,
549,0,6.39E+17,6.39E+17,,,
550,0,6.39E+17,6.39E+17,,,
551,0,6.39E+17,6.39E+17,,,
552,1.501,6.39E+17,6.39E+17,,,
553,0,6.39E+17,6.39E+17,,,
554,1.496,6.39E+17,6.39E+17,,,
555,0,6.39E+17,6.39E+17,,,
556,0,6.39E+17,6.39E+17,,,
557,0,6.39E+17,6.39E+17,,,
558,1.427,6.39E+17,6.39E+17,,,
559,0,6.39E+17,6.39E+17,,,
560,0,6.39E+17,6.39E+17,,,
561,0,6.39E+17,6.39E+17,,,
562,1.503,6.39E+17,6.39E+17,,,
563,0,6.39E+17,6.39E+17,,,
564,0,6.39E+17,6.39E+17,,,
565,0,6.39E+17,6.39E+17,,,
566,0,6.39E+17,6.39E+17,,,
567,0,6.39E+17,6.39E+17,,,
568,0,6.39E+17,6.39E+17,,,
569,0,6.39E+17,6.39E+17,,,
570,0,6.39E+17,6.39E+17,,,
571,0,6.39E+17,6.39E+17,,,
572,0,6.39E+17,6.39E+17,,,
573,1.012,6.39E+17,6.39E+17,,,
574,0,6.39E+17,6.39E+17,,,
575,0,6.39E+17,6.39E+17,,,
576,1.005,6.39E+17,6.39E+17,,,
577,0,6.39E+17,6.39E+17,,,
578,0,6.39E+17,6.39E+17,,,
579,0,6.39E+17,6.39E+17,,,
580,0,6.39E+17,6.39E+17,,,
