Id,SentTime,ReceivedTime,LatencyMs
1532,2025-08-07T11:54:39.1267224Z,2025-08-07T11:54:39.1267224Z,0.0000
1533,2025-08-07T11:54:39.1267224Z,2025-08-07T11:54:39.1267224Z,0.0000
1534,2025-08-07T11:54:39.1277342Z,2025-08-07T11:54:39.1277342Z,0.0000
1535,2025-08-07T11:54:39.1277342Z,2025-08-07T11:54:39.1277342Z,0.0000
1536,2025-08-07T11:54:39.1287312Z,2025-08-07T11:54:39.1287312Z,0.0000
1537,2025-08-07T11:54:39.1287312Z,2025-08-07T11:54:39.1287312Z,0.0000
1538,2025-08-07T11:54:39.1299481Z,2025-08-07T11:54:39.1299481Z,0.0000
1539,2025-08-07T11:54:39.1299481Z,2025-08-07T11:54:39.1299481Z,0.0000
1540,2025-08-07T11:54:39.1309588Z,2025-08-07T11:54:39.1319586Z,0.9998
1541,2025-08-07T11:54:39.1319586Z,2025-08-07T11:54:39.1319586Z,0.0000
1542,2025-08-07T11:54:39.1319586Z,2025-08-07T11:54:39.1329565Z,0.9979
1543,2025-08-07T11:54:39.1329565Z,2025-08-07T11:54:39.1329565Z,0.0000
1544,2025-08-07T11:54:39.1329565Z,2025-08-07T11:54:39.1329565Z,0.0000
1545,2025-08-07T11:54:39.1329565Z,2025-08-07T11:54:39.1344621Z,1.5056
1546,2025-08-07T11:54:39.1344621Z,2025-08-07T11:54:39.1344621Z,0.0000
1547,2025-08-07T11:54:39.1344621Z,2025-08-07T11:54:39.1355598Z,1.0977
1548,2025-08-07T11:54:39.1355598Z,2025-08-07T11:54:39.1355598Z,0.0000
1549,2025-08-07T11:54:39.1365670Z,2025-08-07T11:54:39.1365670Z,0.0000
1550,2025-08-07T11:54:39.1365670Z,2025-08-07T11:54:39.1365670Z,0.0000
1551,2025-08-07T11:54:39.1375779Z,2025-08-07T11:54:39.1375779Z,0.0000
1552,2025-08-07T11:54:39.1375779Z,2025-08-07T11:54:39.1375779Z,0.0000
1553,2025-08-07T11:54:39.1387977Z,2025-08-07T11:54:39.1387977Z,0.0000
1554,2025-08-07T11:54:39.1387977Z,2025-08-07T11:54:39.1387977Z,0.0000
1555,2025-08-07T11:54:39.1399452Z,2025-08-07T11:54:39.1399452Z,0.0000
1556,2025-08-07T11:54:39.1399452Z,2025-08-07T11:54:39.1399452Z,0.0000
1557,2025-08-07T11:54:39.1410100Z,2025-08-07T11:54:39.1410100Z,0.0000
1558,2025-08-07T11:54:39.1410100Z,2025-08-07T11:54:39.1410100Z,0.0000
1559,2025-08-07T11:54:39.1420221Z,2025-08-07T11:54:39.1420221Z,0.0000
