MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
92,19.466,6.3891E+17,6.3891E+17,,,,
93,19.466,6.3891E+17,6.3891E+17,,,,
94,20.861,6.3891E+17,6.3891E+17,,,,
95,20.861,6.3891E+17,6.3891E+17,,,,
96,20.861,6.3891E+17,6.3891E+17,,,,
97,21.366,6.3891E+17,6.3891E+17,,,,
98,21.366,6.3891E+17,6.3891E+17,,,,
99,22.843,6.3891E+17,6.3891E+17,,,,
100,22.843,6.3891E+17,6.3891E+17,,,,
101,45.801,6.3891E+17,6.3891E+17,,,,
102,45.801,6.3891E+17,6.3891E+17,,,,
103,45.801,6.3891E+17,6.3891E+17,,,,
104,45.801,6.3891E+17,6.3891E+17,,,,
105,46.81,6.3891E+17,6.3891E+17,,,,
106,46.81,6.3891E+17,6.3891E+17,,,,
107,46.81,6.3891E+17,6.3891E+17,,,,
108,46.81,6.3891E+17,6.3891E+17,,,,
109,46.81,6.3891E+17,6.3891E+17,,,,
110,46.81,6.3891E+17,6.3891E+17,,,,
111,46.81,6.3891E+17,6.3891E+17,,,,
112,46.81,6.3891E+17,6.3891E+17,,,,
113,48.243,6.3891E+17,6.3891E+17,,,,
114,48.243,6.3891E+17,6.3891E+17,,,,
115,48.243,6.3891E+17,6.3891E+17,,,,
116,48.243,6.3891E+17,6.3891E+17,,,,
117,48.243,6.3891E+17,6.3891E+17,,,,
118,49.258,6.3891E+17,6.3891E+17,,,,
119,49.258,6.3891E+17,6.3891E+17,,,,
120,49.258,6.3891E+17,6.3891E+17,,,,
121,49.258,6.3891E+17,6.3891E+17,,,,
122,49.258,6.3891E+17,6.3891E+17,,,,
123,49.258,6.3891E+17,6.3891E+17,,,,
124,50.268,6.3891E+17,6.3891E+17,,,,
125,50.268,6.3891E+17,6.3891E+17,,,,
126,50.268,6.3891E+17,6.3891E+17,,,,
127,50.268,6.3891E+17,6.3891E+17,,,,
128,50.268,6.3891E+17,6.3891E+17,,,,
129,50.268,6.3891E+17,6.3891E+17,,,,
130,50.268,6.3891E+17,6.3891E+17,,,,
131,51.566,6.3891E+17,6.3891E+17,,,,
132,51.566,6.3891E+17,6.3891E+17,,,,
133,51.566,6.3891E+17,6.3891E+17,,,,
134,51.566,6.3891E+17,6.3891E+17,,,,
135,51.566,6.3891E+17,6.3891E+17,,,,
136,51.566,6.3891E+17,6.3891E+17,,,,
137,51.566,6.3891E+17,6.3891E+17,,,,
138,51.566,6.3891E+17,6.3891E+17,,,,
139,52.91,6.3891E+17,6.3891E+17,,,,
140,52.91,6.3891E+17,6.3891E+17,,,,
141,52.91,6.3891E+17,6.3891E+17,,,,
142,53.416,6.3891E+17,6.3891E+17,,,,
143,53.416,6.3891E+17,6.3891E+17,,,,
144,53.416,6.3891E+17,6.3891E+17,,,,
145,53.416,6.3891E+17,6.3891E+17,,,,
146,53.416,6.3891E+17,6.3891E+17,,,,
147,53.416,6.3891E+17,6.3891E+17,,,,
148,53.416,6.3891E+17,6.3891E+17,,,,
149,54.653,6.3891E+17,6.3891E+17,,,,
150,54.653,6.3891E+17,6.3891E+17,,,,
151,54.653,6.3891E+17,6.3891E+17,,,,
152,54.653,6.3891E+17,6.3891E+17,,,,
153,54.653,6.3891E+17,6.3891E+17,,,,
154,54.653,6.3891E+17,6.3891E+17,,,,
155,54.653,6.3891E+17,6.3891E+17,,,,
156,54.653,6.3891E+17,6.3891E+17,,,,
157,54.653,6.3891E+17,6.3891E+17,,,,
158,56.102,6.3891E+17,6.3891E+17,,,,
159,56.102,6.3891E+17,6.3891E+17,,,,
160,56.102,6.3891E+17,6.3891E+17,,,,
161,56.102,6.3891E+17,6.3891E+17,,,,
162,56.102,6.3891E+17,6.3891E+17,,,,
163,56.102,6.3891E+17,6.3891E+17,,,,
164,56.102,6.3891E+17,6.3891E+17,,,,
165,56.102,6.3891E+17,6.3891E+17,,,,
166,56.102,6.3891E+17,6.3891E+17,,,,
167,57.582,6.3891E+17,6.3891E+17,,,,
168,57.582,6.3891E+17,6.3891E+17,,,,
169,57.582,6.3891E+17,6.3891E+17,,,,
170,57.582,6.3891E+17,6.3891E+17,,,,
171,57.582,6.3891E+17,6.3891E+17,,,,
172,57.582,6.3891E+17,6.3891E+17,,,,
173,57.582,6.3891E+17,6.3891E+17,,,,
174,57.582,6.3891E+17,6.3891E+17,,,,
175,57.582,6.3891E+17,6.3891E+17,,,,
176,57.582,6.3891E+17,6.3891E+17,,,,
177,59.081,6.3891E+17,6.3891E+17,,,,
